file_name,model_type,prompt_detail,temp,completion_id,compiled,correct
completions_gpt3.5/completion_L_t0.1_0.c,gpt3.5,L,0.1,0,1,1
completions_gpt3.5/completion_L_t0.1_1.c,gpt3.5,L,0.1,1,1,1
completions_gpt3.5/completion_L_t0.1_2.c,gpt3.5,L,0.1,2,1,1
completions_gpt3.5/completion_L_t0.1_3.c,gpt3.5,L,0.1,3,1,1
completions_gpt3.5/completion_L_t0.1_4.c,gpt3.5,L,0.1,4,1,1
completions_gpt3.5/completion_L_t0.1_5.c,gpt3.5,L,0.1,5,1,1
completions_gpt3.5/completion_L_t0.1_6.c,gpt3.5,L,0.1,6,1,1
completions_gpt3.5/completion_L_t0.1_7.c,gpt3.5,L,0.1,7,1,1
completions_gpt3.5/completion_L_t0.1_8.c,gpt3.5,L,0.1,8,1,1
completions_gpt3.5/completion_L_t0.1_9.c,gpt3.5,L,0.1,9,1,1
completions_gpt3.5/completion_L_t0.1_10.c,gpt3.5,L,0.1,10,1,1
completions_gpt3.5/completion_L_t0.1_11.c,gpt3.5,L,0.1,11,1,1
completions_gpt3.5/completion_L_t0.1_12.c,gpt3.5,L,0.1,12,1,1
completions_gpt3.5/completion_L_t0.1_13.c,gpt3.5,L,0.1,13,1,1
completions_gpt3.5/completion_L_t0.1_14.c,gpt3.5,L,0.1,14,1,1
completions_gpt3.5/completion_L_t0.1_15.c,gpt3.5,L,0.1,15,1,1
completions_gpt3.5/completion_L_t0.1_16.c,gpt3.5,L,0.1,16,1,1
completions_gpt3.5/completion_L_t0.1_17.c,gpt3.5,L,0.1,17,1,1
completions_gpt3.5/completion_L_t0.1_18.c,gpt3.5,L,0.1,18,1,1
completions_gpt3.5/completion_L_t0.1_19.c,gpt3.5,L,0.1,19,1,1
completions_gpt3.5/completion_L_t0.1_20.c,gpt3.5,L,0.1,20,1,1
completions_gpt3.5/completion_L_t0.1_21.c,gpt3.5,L,0.1,21,1,1
completions_gpt3.5/completion_L_t0.1_22.c,gpt3.5,L,0.1,22,1,1
completions_gpt3.5/completion_L_t0.1_23.c,gpt3.5,L,0.1,23,0,0
completions_gpt3.5/completion_L_t0.1_24.c,gpt3.5,L,0.1,24,1,1
completions_gpt3.5/completion_L_t0.1_25.c,gpt3.5,L,0.1,25,1,1
completions_gpt3.5/completion_L_t0.1_26.c,gpt3.5,L,0.1,26,1,1
completions_gpt3.5/completion_L_t0.1_27.c,gpt3.5,L,0.1,27,1,1
completions_gpt3.5/completion_L_t0.1_28.c,gpt3.5,L,0.1,28,1,1
completions_gpt3.5/completion_L_t0.1_29.c,gpt3.5,L,0.1,29,1,1
completions_gpt3.5/completion_L_t0.1_30.c,gpt3.5,L,0.1,30,1,1
completions_gpt3.5/completion_L_t0.1_31.c,gpt3.5,L,0.1,31,1,1
completions_gpt3.5/completion_L_t0.1_32.c,gpt3.5,L,0.1,32,1,1
completions_gpt3.5/completion_L_t0.1_33.c,gpt3.5,L,0.1,33,1,1
completions_gpt3.5/completion_L_t0.1_34.c,gpt3.5,L,0.1,34,1,1
completions_gpt3.5/completion_L_t0.1_35.c,gpt3.5,L,0.1,35,1,1
completions_gpt3.5/completion_L_t0.1_36.c,gpt3.5,L,0.1,36,1,1
completions_gpt3.5/completion_L_t0.1_37.c,gpt3.5,L,0.1,37,0,0
completions_gpt3.5/completion_L_t0.1_38.c,gpt3.5,L,0.1,38,1,1
completions_gpt3.5/completion_L_t0.1_39.c,gpt3.5,L,0.1,39,1,1
completions_gpt3.5/completion_L_t0.1_40.c,gpt3.5,L,0.1,40,1,1
completions_gpt3.5/completion_L_t0.1_41.c,gpt3.5,L,0.1,41,1,1
completions_gpt3.5/completion_L_t0.1_42.c,gpt3.5,L,0.1,42,1,1
completions_gpt3.5/completion_L_t0.1_43.c,gpt3.5,L,0.1,43,0,0
completions_gpt3.5/completion_L_t0.1_44.c,gpt3.5,L,0.1,44,1,1
completions_gpt3.5/completion_L_t0.1_45.c,gpt3.5,L,0.1,45,1,1
completions_gpt3.5/completion_L_t0.1_46.c,gpt3.5,L,0.1,46,1,1
completions_gpt3.5/completion_L_t0.1_47.c,gpt3.5,L,0.1,47,1,1
completions_gpt3.5/completion_L_t0.1_48.c,gpt3.5,L,0.1,48,1,1
completions_gpt3.5/completion_L_t0.1_49.c,gpt3.5,L,0.1,49,1,1
completions_gpt3.5/completion_L_t0.1_50.c,gpt3.5,L,0.1,50,0,0
completions_gpt3.5/completion_L_t0.1_51.c,gpt3.5,L,0.1,51,1,1
completions_gpt3.5/completion_L_t0.1_52.c,gpt3.5,L,0.1,52,1,1
completions_gpt3.5/completion_L_t0.1_53.c,gpt3.5,L,0.1,53,0,0
completions_gpt3.5/completion_L_t0.1_54.c,gpt3.5,L,0.1,54,1,1
completions_gpt3.5/completion_L_t0.1_55.c,gpt3.5,L,0.1,55,1,1
completions_gpt3.5/completion_L_t0.1_56.c,gpt3.5,L,0.1,56,1,1
completions_gpt3.5/completion_L_t0.1_57.c,gpt3.5,L,0.1,57,1,1
completions_gpt3.5/completion_L_t0.1_58.c,gpt3.5,L,0.1,58,1,1
completions_gpt3.5/completion_L_t0.1_59.c,gpt3.5,L,0.1,59,1,1
completions_gpt3.5/completion_L_t0.1_60.c,gpt3.5,L,0.1,60,1,1
completions_gpt3.5/completion_L_t0.1_61.c,gpt3.5,L,0.1,61,1,1
completions_gpt3.5/completion_L_t0.1_62.c,gpt3.5,L,0.1,62,1,1
completions_gpt3.5/completion_L_t0.1_63.c,gpt3.5,L,0.1,63,1,1
completions_gpt3.5/completion_L_t0.1_64.c,gpt3.5,L,0.1,64,1,1
completions_gpt3.5/completion_L_t0.1_65.c,gpt3.5,L,0.1,65,1,1
completions_gpt3.5/completion_L_t0.1_66.c,gpt3.5,L,0.1,66,1,1
completions_gpt3.5/completion_L_t0.1_67.c,gpt3.5,L,0.1,67,1,1
completions_gpt3.5/completion_L_t0.1_68.c,gpt3.5,L,0.1,68,1,1
completions_gpt3.5/completion_L_t0.1_69.c,gpt3.5,L,0.1,69,1,1
completions_gpt3.5/completion_L_t0.1_70.c,gpt3.5,L,0.1,70,1,1
completions_gpt3.5/completion_L_t0.1_71.c,gpt3.5,L,0.1,71,1,1
completions_gpt3.5/completion_L_t0.1_72.c,gpt3.5,L,0.1,72,1,1
completions_gpt3.5/completion_L_t0.1_73.c,gpt3.5,L,0.1,73,1,1
completions_gpt3.5/completion_L_t0.1_74.c,gpt3.5,L,0.1,74,1,1
completions_gpt3.5/completion_L_t0.1_75.c,gpt3.5,L,0.1,75,1,1
completions_gpt3.5/completion_L_t0.1_76.c,gpt3.5,L,0.1,76,1,1
completions_gpt3.5/completion_L_t0.1_77.c,gpt3.5,L,0.1,77,1,1
completions_gpt3.5/completion_L_t0.1_78.c,gpt3.5,L,0.1,78,1,1
completions_gpt3.5/completion_L_t0.1_79.c,gpt3.5,L,0.1,79,1,1
completions_gpt3.5/completion_L_t0.1_80.c,gpt3.5,L,0.1,80,1,1
completions_gpt3.5/completion_L_t0.1_81.c,gpt3.5,L,0.1,81,1,1
completions_gpt3.5/completion_L_t0.1_82.c,gpt3.5,L,0.1,82,1,1
completions_gpt3.5/completion_L_t0.1_83.c,gpt3.5,L,0.1,83,1,1
completions_gpt3.5/completion_L_t0.1_84.c,gpt3.5,L,0.1,84,1,1
completions_gpt3.5/completion_L_t0.1_85.c,gpt3.5,L,0.1,85,1,1
completions_gpt3.5/completion_L_t0.1_86.c,gpt3.5,L,0.1,86,1,1
completions_gpt3.5/completion_L_t0.1_87.c,gpt3.5,L,0.1,87,0,0
completions_gpt3.5/completion_L_t0.1_88.c,gpt3.5,L,0.1,88,1,1
completions_gpt3.5/completion_L_t0.1_89.c,gpt3.5,L,0.1,89,1,1
completions_gpt3.5/completion_L_t0.1_90.c,gpt3.5,L,0.1,90,1,1
completions_gpt3.5/completion_L_t0.1_91.c,gpt3.5,L,0.1,91,1,1
completions_gpt3.5/completion_L_t0.1_92.c,gpt3.5,L,0.1,92,1,1
completions_gpt3.5/completion_L_t0.1_93.c,gpt3.5,L,0.1,93,1,1
completions_gpt3.5/completion_L_t0.1_94.c,gpt3.5,L,0.1,94,1,1
completions_gpt3.5/completion_L_t0.1_95.c,gpt3.5,L,0.1,95,1,1
completions_gpt3.5/completion_L_t0.1_96.c,gpt3.5,L,0.1,96,1,1
completions_gpt3.5/completion_L_t0.1_97.c,gpt3.5,L,0.1,97,1,1
completions_gpt3.5/completion_L_t0.1_98.c,gpt3.5,L,0.1,98,1,1
completions_gpt3.5/completion_L_t0.1_99.c,gpt3.5,L,0.1,99,1,1
completions_gpt3.5/completion_L_t0.3_0.c,gpt3.5,L,0.3,0,1,1
completions_gpt3.5/completion_L_t0.3_1.c,gpt3.5,L,0.3,1,1,1
completions_gpt3.5/completion_L_t0.3_2.c,gpt3.5,L,0.3,2,1,1
completions_gpt3.5/completion_L_t0.3_3.c,gpt3.5,L,0.3,3,1,1
completions_gpt3.5/completion_L_t0.3_4.c,gpt3.5,L,0.3,4,1,1
completions_gpt3.5/completion_L_t0.3_5.c,gpt3.5,L,0.3,5,1,1
completions_gpt3.5/completion_L_t0.3_6.c,gpt3.5,L,0.3,6,1,1
completions_gpt3.5/completion_L_t0.3_7.c,gpt3.5,L,0.3,7,1,1
completions_gpt3.5/completion_L_t0.3_8.c,gpt3.5,L,0.3,8,1,1
completions_gpt3.5/completion_L_t0.3_9.c,gpt3.5,L,0.3,9,1,1
completions_gpt3.5/completion_L_t0.3_10.c,gpt3.5,L,0.3,10,1,1
completions_gpt3.5/completion_L_t0.3_11.c,gpt3.5,L,0.3,11,1,1
completions_gpt3.5/completion_L_t0.3_12.c,gpt3.5,L,0.3,12,1,1
completions_gpt3.5/completion_L_t0.3_13.c,gpt3.5,L,0.3,13,1,1
completions_gpt3.5/completion_L_t0.3_14.c,gpt3.5,L,0.3,14,1,1
completions_gpt3.5/completion_L_t0.3_15.c,gpt3.5,L,0.3,15,1,1
completions_gpt3.5/completion_L_t0.3_16.c,gpt3.5,L,0.3,16,1,1
completions_gpt3.5/completion_L_t0.3_17.c,gpt3.5,L,0.3,17,1,1
completions_gpt3.5/completion_L_t0.3_18.c,gpt3.5,L,0.3,18,1,1
completions_gpt3.5/completion_L_t0.3_19.c,gpt3.5,L,0.3,19,1,1
completions_gpt3.5/completion_L_t0.3_20.c,gpt3.5,L,0.3,20,1,1
completions_gpt3.5/completion_L_t0.3_21.c,gpt3.5,L,0.3,21,1,1
completions_gpt3.5/completion_L_t0.3_22.c,gpt3.5,L,0.3,22,1,1
completions_gpt3.5/completion_L_t0.3_23.c,gpt3.5,L,0.3,23,1,1
completions_gpt3.5/completion_L_t0.3_24.c,gpt3.5,L,0.3,24,1,1
completions_gpt3.5/completion_L_t0.3_25.c,gpt3.5,L,0.3,25,1,1
completions_gpt3.5/completion_L_t0.3_26.c,gpt3.5,L,0.3,26,1,1
completions_gpt3.5/completion_L_t0.3_27.c,gpt3.5,L,0.3,27,1,1
completions_gpt3.5/completion_L_t0.3_28.c,gpt3.5,L,0.3,28,1,1
completions_gpt3.5/completion_L_t0.3_29.c,gpt3.5,L,0.3,29,1,1
completions_gpt3.5/completion_L_t0.3_30.c,gpt3.5,L,0.3,30,1,1
completions_gpt3.5/completion_L_t0.3_31.c,gpt3.5,L,0.3,31,1,1
completions_gpt3.5/completion_L_t0.3_32.c,gpt3.5,L,0.3,32,1,1
completions_gpt3.5/completion_L_t0.3_33.c,gpt3.5,L,0.3,33,1,1
completions_gpt3.5/completion_L_t0.3_34.c,gpt3.5,L,0.3,34,1,1
completions_gpt3.5/completion_L_t0.3_35.c,gpt3.5,L,0.3,35,1,1
completions_gpt3.5/completion_L_t0.3_36.c,gpt3.5,L,0.3,36,1,1
completions_gpt3.5/completion_L_t0.3_37.c,gpt3.5,L,0.3,37,1,1
completions_gpt3.5/completion_L_t0.3_38.c,gpt3.5,L,0.3,38,1,1
completions_gpt3.5/completion_L_t0.3_39.c,gpt3.5,L,0.3,39,1,1
completions_gpt3.5/completion_L_t0.3_40.c,gpt3.5,L,0.3,40,1,1
completions_gpt3.5/completion_L_t0.3_41.c,gpt3.5,L,0.3,41,1,1
completions_gpt3.5/completion_L_t0.3_42.c,gpt3.5,L,0.3,42,1,1
completions_gpt3.5/completion_L_t0.3_43.c,gpt3.5,L,0.3,43,1,1
completions_gpt3.5/completion_L_t0.3_44.c,gpt3.5,L,0.3,44,1,1
completions_gpt3.5/completion_L_t0.3_45.c,gpt3.5,L,0.3,45,1,1
completions_gpt3.5/completion_L_t0.3_46.c,gpt3.5,L,0.3,46,1,1
completions_gpt3.5/completion_L_t0.3_47.c,gpt3.5,L,0.3,47,1,1
completions_gpt3.5/completion_L_t0.3_48.c,gpt3.5,L,0.3,48,1,1
completions_gpt3.5/completion_L_t0.3_49.c,gpt3.5,L,0.3,49,1,1
completions_gpt3.5/completion_L_t0.3_50.c,gpt3.5,L,0.3,50,1,1
completions_gpt3.5/completion_L_t0.3_51.c,gpt3.5,L,0.3,51,1,1
completions_gpt3.5/completion_L_t0.3_52.c,gpt3.5,L,0.3,52,1,1
completions_gpt3.5/completion_L_t0.3_53.c,gpt3.5,L,0.3,53,1,1
completions_gpt3.5/completion_L_t0.3_54.c,gpt3.5,L,0.3,54,1,1
completions_gpt3.5/completion_L_t0.3_55.c,gpt3.5,L,0.3,55,1,0
completions_gpt3.5/completion_L_t0.3_56.c,gpt3.5,L,0.3,56,1,1
completions_gpt3.5/completion_L_t0.3_57.c,gpt3.5,L,0.3,57,1,1
completions_gpt3.5/completion_L_t0.3_58.c,gpt3.5,L,0.3,58,1,1
completions_gpt3.5/completion_L_t0.3_59.c,gpt3.5,L,0.3,59,1,1
completions_gpt3.5/completion_L_t0.3_60.c,gpt3.5,L,0.3,60,1,1
completions_gpt3.5/completion_L_t0.3_61.c,gpt3.5,L,0.3,61,1,1
completions_gpt3.5/completion_L_t0.3_62.c,gpt3.5,L,0.3,62,1,1
completions_gpt3.5/completion_L_t0.3_63.c,gpt3.5,L,0.3,63,1,1
completions_gpt3.5/completion_L_t0.3_64.c,gpt3.5,L,0.3,64,1,1
