file_name,model_type,prompt_detail,temp,completion_id,compiled,passed_bench,correct,first CT,Levenshtein distance,area
REF.txt,manual,NA,NA,NA,1,1,1,"6F0FA9163F92C56027EA4D329455D7D7
",0,1781.268508
completions_llm/completion_H_t0.1_0.v,llm,H,0.1,0,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_1.v,llm,H,0.1,1,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_10.v,llm,H,0.1,10,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_11.v,llm,H,0.1,11,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_12.v,llm,H,0.1,12,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_13.v,llm,H,0.1,13,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_14.v,llm,H,0.1,14,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_15.v,llm,H,0.1,15,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_16.v,llm,H,0.1,16,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_17.v,llm,H,0.1,17,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_18.v,llm,H,0.1,18,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_19.v,llm,H,0.1,19,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_2.v,llm,H,0.1,2,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_20.v,llm,H,0.1,20,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_21.v,llm,H,0.1,21,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_22.v,llm,H,0.1,22,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_23.v,llm,H,0.1,23,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_24.v,llm,H,0.1,24,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_25.v,llm,H,0.1,25,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_26.v,llm,H,0.1,26,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_27.v,llm,H,0.1,27,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_28.v,llm,H,0.1,28,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_29.v,llm,H,0.1,29,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_3.v,llm,H,0.1,3,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_30.v,llm,H,0.1,30,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_31.v,llm,H,0.1,31,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_32.v,llm,H,0.1,32,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_33.v,llm,H,0.1,33,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_34.v,llm,H,0.1,34,1,1,0,"7A7B7E08944E540256D1C2A653F03619
",2546,0.000000
completions_llm/completion_H_t0.1_35.v,llm,H,0.1,35,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_36.v,llm,H,0.1,36,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_37.v,llm,H,0.1,37,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_38.v,llm,H,0.1,38,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_39.v,llm,H,0.1,39,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_4.v,llm,H,0.1,4,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_40.v,llm,H,0.1,40,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_41.v,llm,H,0.1,41,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_42.v,llm,H,0.1,42,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_43.v,llm,H,0.1,43,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_44.v,llm,H,0.1,44,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_45.v,llm,H,0.1,45,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_46.v,llm,H,0.1,46,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_47.v,llm,H,0.1,47,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_48.v,llm,H,0.1,48,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_49.v,llm,H,0.1,49,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_5.v,llm,H,0.1,5,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_50.v,llm,H,0.1,50,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_51.v,llm,H,0.1,51,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_52.v,llm,H,0.1,52,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_53.v,llm,H,0.1,53,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_54.v,llm,H,0.1,54,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_55.v,llm,H,0.1,55,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_56.v,llm,H,0.1,56,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_57.v,llm,H,0.1,57,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_58.v,llm,H,0.1,58,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_59.v,llm,H,0.1,59,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_6.v,llm,H,0.1,6,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_60.v,llm,H,0.1,60,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_61.v,llm,H,0.1,61,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_62.v,llm,H,0.1,62,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_63.v,llm,H,0.1,63,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_64.v,llm,H,0.1,64,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_65.v,llm,H,0.1,65,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_66.v,llm,H,0.1,66,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_67.v,llm,H,0.1,67,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_68.v,llm,H,0.1,68,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_69.v,llm,H,0.1,69,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_7.v,llm,H,0.1,7,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_70.v,llm,H,0.1,70,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_71.v,llm,H,0.1,71,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_72.v,llm,H,0.1,72,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_73.v,llm,H,0.1,73,1,1,0,"XXXX81XXXX84XXXX13XXXXXXXXXXXX4C
",2811,0.000000
completions_llm/completion_H_t0.1_74.v,llm,H,0.1,74,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_75.v,llm,H,0.1,75,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_76.v,llm,H,0.1,76,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_77.v,llm,H,0.1,77,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_78.v,llm,H,0.1,78,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_79.v,llm,H,0.1,79,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_8.v,llm,H,0.1,8,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_80.v,llm,H,0.1,80,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_81.v,llm,H,0.1,81,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_82.v,llm,H,0.1,82,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_83.v,llm,H,0.1,83,1,1,0,"XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
",2880,0.000000
completions_llm/completion_H_t0.1_84.v,llm,H,0.1,84,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_85.v,llm,H,0.1,85,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_86.v,llm,H,0.1,86,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_87.v,llm,H,0.1,87,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_88.v,llm,H,0.1,88,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_89.v,llm,H,0.1,89,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_9.v,llm,H,0.1,9,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_90.v,llm,H,0.1,90,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_91.v,llm,H,0.1,91,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_92.v,llm,H,0.1,92,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_93.v,llm,H,0.1,93,0,0,0,NA,NA,NA
completions_llm/completion_H_t0.1_94.v,llm,H,0.1,94,0,0,0,NA,NA,NA
